episode,return,critic_loss,actor_loss
0,-3230.948,0,0
1,-605.194,0,0
2,-1204.069,123.6177,8.9366
3,0.824,37.9295,4.2477
4,-4.995,21.8126,2.066
5,-80.995,16.1127,-0.648
6,-307.243,12.6584,-2.6469
7,-7.306,11.6291,-3.6396
8,-2.999,9.7264,-4.743
9,-4.38,8.3281,-6.0588
10,-2183.902,9.5076,-6.8012
11,-149.725,13.9353,-7.6101
12,-1532.624,15.0894,-8.0732
13,-1677.877,17.2271,-8.1124
14,-5.152,18.8311,-9.3144
15,-6.519,16.843,-10.6125
16,-4.473,15.2074,-11.9734
17,-7.552,14.7941,-13.5641
18,-8.011,13.5153,-15.0789
19,-181.299,12.7136,-16.2006
20,-5.116,11.8439,-17.3807
21,-899.458,12.5299,-18.6087
22,-5.374,11.9789,-19.8376
23,-6.707,11.756,-20.6144
24,-3.947,10.8344,-21.261
25,-254.553,10.9559,-21.8289
26,-6.149,10.0991,-22.2074
27,-4.0,10.1756,-22.5558
28,-8.138,9.4531,-22.7042
29,-6.419,9.6893,-22.9246
30,-5.104,9.1846,-22.922
31,-306.404,9.2883,-22.7787
32,-81.794,9.6137,-22.9684
33,-131.543,9.3168,-23.556
34,-32.321,9.4377,-24.6164
35,-104.138,9.2705,-24.7882
36,-35.673,9.4105,-24.9253
37,-29.417,9.027,-25.0614
38,-336.94,8.5198,-25.1813
39,-5.91,9.0212,-25.8054
40,-6.147,9.0146,-26.7671
41,-3657.417,10.3887,-27.6219
42,-531.604,11.2176,-28.4455
43,-6.051,11.7523,-29.081
44,-9.033,11.0553,-29.9361
45,-130.997,11.3231,-30.8572
46,-11.499,10.8513,-32.0376
47,-130.823,11.2565,-33.2997
48,-8.633,12.039,-34.8517
49,-10.353,11.8017,-36.263
50,-254.887,13.2964,-37.2294
51,-2654.431,14.0035,-38.5613
52,-178.322,13.7498,-40.0138
53,-2458.32,14.7602,-41.4461
54,-4.705,15.8502,-42.3494
55,-5.861,15.5807,-43.3063
56,-2384.448,16.7082,-43.9644
57,-4.43,17.0341,-44.3606
58,14.425,16.873,-44.8811
59,-957.117,16.7452,-45.4023
60,-156.508,17.9453,-46.3916
61,-1204.553,17.5495,-47.2381
62,-6.321,18.2735,-48.079
63,-906.673,17.2658,-48.6567
64,-658.323,18.1424,-49.2971
65,-176.897,17.6526,-49.7839
66,-30.074,17.3939,-50.3306
67,-1003.467,18.2413,-50.7841
68,-5.355,17.3171,-51.1139
69,-81.854,17.7745,-51.9382
70,-0.485,16.6484,-52.7505
71,-2306.518,18.8465,-53.0744
72,-2309.167,18.6519,-53.4777
73,-7.998,19.1948,-53.8033
74,-3.682,18.2963,-54.5103
75,-103.728,18.2309,-55.2273
76,-230.721,19.102,-56.5545
77,-108.318,18.585,-58.0401
78,-456.199,18.6421,-58.5221
79,-96.046,18.7059,-59.3038
80,-233.436,18.6312,-60.0017
81,-33.785,17.3759,-59.9702
82,-81.984,17.1795,-59.8532
83,-33.127,17.1275,-59.6843
84,-57.829,16.5737,-59.597
85,-227.999,16.18,-59.0711
86,-356.012,16.1076,-58.7273
87,-53.577,16.1087,-58.4724
88,-1683.472,15.9637,-58.4486
89,-31.589,16.826,-58.6457
90,-180.751,15.9872,-58.2772
91,-5.952,15.2459,-57.9606
92,-13.767,15.2371,-57.459
93,-5.938,15.7793,-57.3845
94,-2654.245,15.8553,-57.1346
95,-150.525,15.8717,-56.626
96,-3878.138,16.3537,-56.6284
97,-178.573,16.8397,-56.5756
98,-257.097,16.0259,-56.0407
99,-733.079,16.6102,-55.9374
100,-1462.136,16.4768,-55.7931
101,-2481.663,16.9123,-55.5988
102,-3305.321,18.3362,-55.422
103,-153.626,18.3951,-55.2163
104,-579.855,17.6985,-55.2849
105,-551.822,17.9964,-55.4753
106,-2.775,17.5735,-55.2957
107,-2455.709,17.6112,-55.1292
108,-437.514,17.7871,-54.7705
109,-811.669,17.4842,-54.5761
110,-726.597,18.221,-54.4522
111,-6.826,17.3058,-54.3985
112,-630.172,17.8698,-54.3366
113,-1506.621,17.8621,-54.208
114,-1178.263,17.6416,-53.9624
115,-160.422,18.1477,-53.7995
116,-114.663,17.1338,-53.804
117,-728.819,17.6199,-53.7427
118,-4283.732,17.8869,-53.6651
119,-4956.044,19.7705,-53.1979
120,-4.301,19.5589,-53.0101
121,-8.88,19.4335,-52.7746
122,-600.181,20.3108,-52.5625
123,-646.789,20.0228,-52.7688
124,-355.309,20.1831,-52.7687
125,-655.345,19.9887,-52.7138
126,-653.539,19.8576,-53.1202
127,-3.102,19.9113,-53.1152
128,-1976.733,19.5844,-53.2125
129,-3.992,20.6702,-53.2234
130,-6.911,19.5355,-53.3568
131,-2233.23,20.4582,-53.2979
132,-239.91,20.0837,-53.2583
133,-59.467,19.757,-53.1452
134,-7.018,19.7852,-53.3302
135,-4831.671,20.3757,-53.3546
136,-2531.96,21.5495,-53.2792
137,-3778.722,22.6481,-53.5474
138,-9.057,22.5519,-53.7274
139,-4.81,22.9322,-53.9737
140,13.522,22.4661,-54.1834
141,-376.221,22.2632,-54.5841
142,-1531.94,22.0921,-55.0385
143,-814.757,22.0571,-55.3715
144,-8.329,22.4354,-55.7655
145,-6.754,21.5464,-56.282
146,-301.762,21.908,-56.7102
147,-1829.627,22.2502,-57.2931
148,-1558.454,22.868,-57.7016
149,-2109.597,22.9109,-58.2548
150,-55.534,22.641,-58.8803
151,-1553.732,23.4646,-59.2517
152,-1283.853,24.0034,-59.5538
153,-109.272,22.8396,-59.9625
154,-188.896,23.4586,-60.5385
155,-82.246,22.9885,-61.0448
156,-1549.687,23.7471,-61.8037
157,-3.877,23.3867,-61.9783
158,-953.848,24.1041,-62.4786
159,-2707.519,23.6706,-62.9516
160,-4.749,23.8147,-63.1832
161,-3806.479,24.6929,-63.3764
162,-9.739,25.1333,-63.4737
163,-2.833,23.9819,-63.7366
164,-2207.785,25.0384,-63.8326
165,-4.6,24.3735,-64.0277
166,-1229.258,24.7869,-64.3153
167,-52.373,24.6622,-64.2862
168,-6.574,23.5148,-64.6059
169,-1459.205,26.1329,-64.794
170,-482.572,25.4594,-65.0699
171,-6.143,25.9406,-65.6403
172,-831.564,24.6236,-65.8793
173,14.793,25.4448,-65.9461
174,-427.674,26.1033,-66.1463
175,-6.167,25.8959,-66.3412
176,-857.664,26.2977,-66.8799
177,-331.765,25.2994,-67.3629
178,-6.485,26.6533,-67.8181
179,-139.712,26.3846,-68.2616
180,-759.242,28.0045,-68.586
181,-381.255,25.9496,-69.2237
182,-660.361,25.636,-69.732
183,-8.688,26.6614,-70.4053
184,-527.21,27.1516,-70.8323
185,-31.554,25.8138,-71.2306
186,-3760.091,27.2716,-71.3919
187,-7.276,27.755,-71.9769
188,-5.705,27.3501,-72.2514
189,-302.045,26.5673,-72.6389
190,-1455.597,27.546,-72.8557
191,-974.987,27.2304,-73.1514
192,-4.068,27.1795,-73.4712
193,-181.026,29.1778,-73.5657
194,-6.854,27.2135,-73.7379
195,-3556.344,27.405,-73.8456
196,-1059.846,28.1388,-74.139
197,-1680.626,29.6477,-74.2824
198,-2255.453,30.6631,-74.5718
199,-3557.327,28.6678,-74.6175
200,-8.938,28.857,-74.8558
201,-836.634,28.9175,-74.9657
202,-357.353,28.6454,-75.0387
203,-4085.976,29.5197,-75.494
204,-330.227,29.8752,-75.5802
205,-2657.722,30.2478,-75.5025
206,-407.656,28.0374,-75.8491
207,-2481.06,30.812,-76.0284
208,-359.911,30.7064,-76.5309
209,-6.696,30.6083,-76.6963
210,-5.392,30.143,-76.7808
211,-9.49,30.7282,-76.8248
212,-755.582,30.6811,-76.9776
213,-6.324,29.6858,-77.1185
214,-174.134,30.8215,-77.1222
215,-32.767,29.3325,-77.2591
216,-1511.171,29.625,-77.0279
217,-4.958,30.712,-77.166
218,-4.769,29.6053,-76.921
219,-9.224,28.6435,-76.8714
220,-6.859,29.2746,-76.9438
221,-6.794,28.1291,-77.035
222,-3.126,28.3405,-77.1106
223,-151.999,27.2948,-77.393
224,-254.344,27.1267,-77.4325
225,-4680.788,29.0786,-77.4725
226,-3.696,29.0707,-77.5906
227,-401.011,28.1843,-77.6228
228,-3305.226,28.5005,-77.705
229,-2978.271,27.5095,-77.7109
230,-52.13,29.0463,-77.6934
231,-6.453,27.7458,-77.895
232,-434.115,26.1812,-77.8485
233,14.852,36.8918,-79.1221
234,-1400.784,27.9083,-77.8064
235,-8.098,26.9538,-77.7772
236,-857.762,26.4544,-77.6286
237,-132.914,26.1353,-77.6919
238,-57.057,26.4987,-77.8391
239,-10.423,26.3577,-77.6726
240,-0.092,25.0276,-77.6373
241,-5.827,25.3945,-77.7712
242,-5530.69,26.0165,-77.7699
243,-151.033,26.1625,-77.5199
244,-32.537,26.2863,-77.7526
245,-9.569,25.9,-77.7655
246,-158.49,24.3177,-77.5284
247,-3133.753,24.5396,-77.7803
248,-827.375,26.1684,-77.4259
249,-3.106,25.32,-77.4968
250,-2759.744,25.2655,-77.2837
251,-285.145,26.0526,-77.2232
252,-3.801,24.8814,-77.1333
253,-3406.64,26.1121,-77.1588
254,-5129.757,25.5313,-76.8333
255,-1958.621,25.6805,-76.7464
256,-8.714,25.2877,-77.0243
257,-129.531,25.4873,-77.4404
258,-6.499,24.436,-77.1933
259,-1207.607,24.3631,-77.2214
260,-32.124,23.9086,-77.1259
261,-85.242,24.79,-77.1399
262,-6.702,23.8141,-76.9336
263,-182.105,23.5029,-76.8804
264,-2352.189,23.9279,-76.4606
265,15.745,24.5547,-76.0368
266,-2.786,23.2431,-75.8312
267,-30.216,23.0588,-75.911
268,-3256.154,22.6515,-75.8847
269,-6.315,22.8827,-76.0947
270,-935.095,22.7646,-76.0906
271,-3156.094,22.6389,-76.2598
272,-79.778,23.5279,-76.1821
273,-2556.033,23.7502,-76.194
274,-2.112,23.7595,-76.1979
275,-1.371,22.9853,-76.4228
